    Teisinis dokumentas ,kiekis,
    Ä®sakymas ,147554,
    Sprendimas ,87907,
    Nutartis ,65006,
    Nutarimas ,63773,
    Potvarkis ,17942,
    ?statymas ,13921,
    Dekretas ,11270,
    Informacija ,4041,
    Prane?imas ,2866,
    Atitaisymas ,1368,
    Nutartis d?l teismingumo ,1242,
    Rezoliucija ,984,
    Protokolas ,620,
    Susitarimas ,564,
    Ra?tas ,452,
    Sutartis ,400,
    Konvencija ,294,
    Aktas ,231,
    Tarptautinio dokumento protokolas ,147,
    Statutas ,144,
    ?sakas ,95,
    Parei?kimas ,88,
    Kreipimasis ,62,
    Leidimas ,51,
    I?ai?kinimas ,40,
    Ap?valga ,36,
    Memorandumas ,32,
    Deklaracija ,21,
    Konstitucinis ?statymas ,17,
    I?vada ,16,
    Tvarka ,14,
    Protokolinis nutarimas ,14,
    Priedas ,14,
    Kodeksas ,13,
    Patikslinimas ,11,
    Paai?kinimas ,11,
    Nuostatai ,11,
    Taisykl?s ,10,
    Protokolinis sprendimas ,8,
    I?ra?as ,8,
    Instrukcija ,8,
    S?ra?as ,7,
    Reglamentas ,7,
    Skelbimas ,6,
    ?galiojimas ,6,
    Rekomendacija ,5,
    Pataisa ,5,
    Nota ,5,
    Atskiroji nutartis ,5,
    Konstitucija ,3,
    ?statai ,3,
    Chartija ,3,
    Protestas ,2,
    Paktas ,2,
    Nurodymas ,2,
    Konsultacija ,2,
    Komunikatas ,2,
    Sutarties priedas ,1,
    Restitucijos aktas ,1,
    Raginimas ,1,
    Pavedimas ,1,
    Pasi?lymas ,1,
    Normatyvai ,1,
    Metodika ,1,
    Lai?kas ,1,
    Konstitucinis aktas ,1,
    Kiti ,1,
    ?statymo projektas ,1,
    Gair?s ,1,    
